COUNTRY,YEAR,GDP,GNI,PPP
Algeria,1990,62048505222.3414,6720.0,3.1230900000000004
Algeria,1991,45715676428.2766,6570.0,4.64584
Algeria,1992,48003133346.9957,6760.0,5.53828
Algeria,1993,49945585165.7899,6690.0,6.147130000000001
Algeria,1994,42543177031.1723,6590.0,7.768680000000001
Algeria,1995,41764291963.8532,6770.0,9.78358
Algeria,1996,46941553939.5593,7040.0,11.915610000000001
Algeria,1997,48177612042.1507,7180.0,12.5338
Algeria,1998,48187781711.0308,7550.0,12.006219999999999
Algeria,1999,48640671734.9711,7750.0,13.1247
Algeria,2000,54790398813.0005,8090.0,15.74443
Algeria,2001,54744698044.2331,8580.0,15.324639999999999
Algeria,2002,56760355865.0082,8990.0,15.28871
Algeria,2003,67863850333.9526,9710.0,16.24182
Algeria,2004,85332581188.6107,10200.0,17.75446
Algeria,2005,103198211973.24199,10910.0,19.990560000000002
Algeria,2006,117027280692.356,11400.0,21.43743
Algeria,2007,134977082623.78,12220.0,22.20824
Algeria,2008,171000699876.74698,12610.0,25.12654
Algeria,2009,137211004291.274,12640.0,22.17985
Algeria,2010,161207306304.794,13100.0,25.44939
Algeria,2011,200013097903.17,13410.0,29.475890000000003
Algeria,2012,209059081828.26096,13180.0,32.59323
Algeria,2013,209755003250.66397,12850.0,33.43035
Algeria,2014,213809980720.78696,12760.0,34.03952
Algeria,2015,165979224316.667,11760.0,35.01083
Algeria,2016,160034212613.43698,11570.0,37.15583
Algeria,2017,170096989042.831,11630.0,38.85575
Algeria,2018,174910891124.491,11710.0,40.507540000000006
Algeria,2019,171760290068.15698,11820.0,39.60577
Chad,1990,1738605558.05436,710.0,118.51583000000001
Chad,1991,1877137983.02923,770.0,118.16243999999999
Chad,1992,1881847671.47122,820.0,100.61873
Chad,1993,1463251161.33494,670.0,96.99684
Chad,1994,1179837963.95379,750.0,136.32301
Chad,1995,1445919894.86249,750.0,145.31743
Chad,1996,1607345354.92671,740.0,159.05629
Chad,1997,1544689575.99186,770.0,162.27473
Chad,1998,1744794532.49364,810.0,171.29928999999998
Chad,1999,1534673583.2487,790.0,156.12683
Chad,2000,1388506771.52623,760.0,160.74391
Chad,2001,1710843376.39331,840.0,178.89243000000002
Chad,2002,1997005710.26555,880.0,179.50769
Chad,2003,2742815070.75867,860.0,176.17257
Chad,2004,4422855658.380429,1140.0,188.26779
Chad,2005,6649307528.06238,1320.0,224.5308
Chad,2006,7428701455.40565,1310.0,239.55718
Chad,2007,8650137734.71637,1380.0,240.95532000000003
Chad,2008,10393833755.2791,1360.0,256.86855
Chad,2009,9290728312.24383,1580.0,230.83556000000002
Chad,2010,10668103549.3123,1770.0,242.6723
Chad,2011,12172308858.2993,1760.0,258.13132
Chad,2012,12367362746.1307,1690.0,285.35352
Chad,2013,12953534870.303999,1500.0,308.41971
