Terminal,ReportPeriod,Passenger_Count
Miscellaneous Terminal,2006-01-01,1441.0
Miscellaneous Terminal,2006-02-01,397.0
Miscellaneous Terminal,2006-03-01,1328.0
Miscellaneous Terminal,2006-04-01,938.0
Miscellaneous Terminal,2006-05-01,540.0
Miscellaneous Terminal,2006-06-01,71.0
Miscellaneous Terminal,2006-07-01,17.0
Miscellaneous Terminal,2006-08-01,17.0
Miscellaneous Terminal,2006-09-01,361.0
Miscellaneous Terminal,2006-10-01,1016.0
Miscellaneous Terminal,2006-11-01,1262.0
Miscellaneous Terminal,2006-12-01,1359.0
Miscellaneous Terminal,2007-01-01,1262.0
Miscellaneous Terminal,2007-02-01,609.0
Miscellaneous Terminal,2007-03-01,1496.0
Miscellaneous Terminal,2007-04-01,735.0
Miscellaneous Terminal,2007-05-01,103.0
Miscellaneous Terminal,2007-06-01,18.0
Miscellaneous Terminal,2007-07-01,29.0
Miscellaneous Terminal,2007-08-01,8.0
Miscellaneous Terminal,2007-09-01,8.0
Miscellaneous Terminal,2007-10-01,613.0
Miscellaneous Terminal,2007-11-01,1096.0
Miscellaneous Terminal,2007-12-01,741.0
Miscellaneous Terminal,2008-01-01,1145.0
Miscellaneous Terminal,2008-02-01,566.0
Miscellaneous Terminal,2008-03-01,1119.0
Miscellaneous Terminal,2008-04-01,514.0
Miscellaneous Terminal,2008-05-01,195.0
Miscellaneous Terminal,2008-06-01,333.0
Miscellaneous Terminal,2008-07-01,155.0
Miscellaneous Terminal,2008-08-01,82.0
Miscellaneous Terminal,2008-09-01,715.0
Miscellaneous Terminal,2008-10-01,144.0
Miscellaneous Terminal,2008-11-01,723.0
Miscellaneous Terminal,2008-12-01,731.0
Miscellaneous Terminal,2009-01-01,1111.0
Miscellaneous Terminal,2009-02-01,242.0
Miscellaneous Terminal,2009-03-01,1146.0
Miscellaneous Terminal,2009-04-01,437.0
Miscellaneous Terminal,2009-05-01,57.0
Miscellaneous Terminal,2009-06-01,377.0
Miscellaneous Terminal,2009-07-01,277.0
Miscellaneous Terminal,2009-08-01,95.0
Miscellaneous Terminal,2009-09-01,2.0
Miscellaneous Terminal,2009-10-01,78.0
Miscellaneous Terminal,2009-11-01,234.0
Miscellaneous Terminal,2009-12-01,1276.0
Miscellaneous Terminal,2010-01-01,2046.0
Miscellaneous Terminal,2010-02-01,170.0
Miscellaneous Terminal,2010-03-01,509.0
Miscellaneous Terminal,2010-04-01,41.0
Miscellaneous Terminal,2010-05-01,62.0
Miscellaneous Terminal,2010-06-01,153.0
Miscellaneous Terminal,2010-07-01,651.0
