Country,Date,Confirmed
Brazil,2020-01-22,1
Brazil,2020-01-23,1
Brazil,2020-01-24,1
Brazil,2020-01-25,1
Brazil,2020-01-26,1
Brazil,2020-01-27,1
Brazil,2020-01-28,1
Brazil,2020-01-29,1
Brazil,2020-01-30,1
Brazil,2020-01-31,1
Brazil,2020-02-01,1
Brazil,2020-02-02,1
Brazil,2020-02-03,1
Brazil,2020-02-04,1
Brazil,2020-02-05,1
Brazil,2020-02-06,1
Brazil,2020-02-07,1
Brazil,2020-02-08,1
Brazil,2020-02-09,1
Brazil,2020-02-10,1
Brazil,2020-02-11,1
Brazil,2020-02-12,1
Brazil,2020-02-13,1
Brazil,2020-02-14,1
Brazil,2020-02-15,1
Brazil,2020-02-16,1
Brazil,2020-02-17,1
Brazil,2020-02-18,1
Brazil,2020-02-19,1
Brazil,2020-02-20,1
Brazil,2020-02-21,1
Brazil,2020-02-22,1
Brazil,2020-02-23,1
Brazil,2020-02-24,1
Brazil,2020-02-25,1
Brazil,2020-02-26,2
Brazil,2020-02-27,2
Brazil,2020-02-28,2
Brazil,2020-02-29,3
Brazil,2020-03-01,3
Brazil,2020-03-02,3
Brazil,2020-03-03,3
Brazil,2020-03-04,5
Brazil,2020-03-05,5
Brazil,2020-03-06,14
Brazil,2020-03-07,14
Brazil,2020-03-08,21
Brazil,2020-03-09,26
Brazil,2020-03-10,32
Brazil,2020-03-11,39
Brazil,2020-03-12,53
Brazil,2020-03-13,152
Brazil,2020-03-14,152
Brazil,2020-03-15,163
Brazil,2020-03-16,201
Brazil,2020-03-17,322
Brazil,2020-03-18,373
Brazil,2020-03-19,622
Brazil,2020-03-20,794
Brazil,2020-03-21,1022
Brazil,2020-03-22,1547
Brazil,2020-03-23,1925
Brazil,2020-03-24,2248
Brazil,2020-03-25,2555
Brazil,2020-03-26,2986
Brazil,2020-03-27,3418
Brazil,2020-03-28,3905
Brazil,2020-03-29,4257
Brazil,2020-03-30,4580
Brazil,2020-03-31,5718
Brazil,2020-04-01,6837
Brazil,2020-04-02,8045
Brazil,2020-04-03,9057
Brazil,2020-04-04,10361
Brazil,2020-04-05,11131
Brazil,2020-04-06,12162
Brazil,2020-04-07,14035
Brazil,2020-04-08,16171
Brazil,2020-04-09,18093
Brazil,2020-04-10,19639
Brazil,2020-04-11,20728
Brazil,2020-04-12,22193
Brazil,2020-04-13,23431
Brazil,2020-04-14,25263
Brazil,2020-04-15,28321
Brazil,2020-04-16,30426
Brazil,2020-04-17,33683
Brazil,2020-04-18,36659
Brazil,2020-04-19,38655
Brazil,2020-04-20,40744
Brazil,2020-04-21,43080
Brazil,2020-04-22,45758
Brazil,2020-04-23,50037
Brazil,2020-04-24,54044
Brazil,2020-04-25,59325
Brazil,2020-04-26,63101
Brazil,2020-04-27,67447
Brazil,2020-04-28,73236
Brazil,2020-04-29,79686
Brazil,2020-04-30,87188
Brazil,2020-05-01,92203
Brazil,2020-05-02,97101
Brazil,2020-05-03,101827
Brazil,2020-05-04,108621
Brazil,2020-05-05,115456
Brazil,2020-05-06,126612
Brazil,2020-05-07,135774
Brazil,2020-05-08,146895
Brazil,2020-05-09,156062
Brazil,2020-05-10,162700
Brazil,2020-05-11,169595
Brazil,2020-05-12,178215
Brazil,2020-05-13,190138
Brazil,2020-05-14,203166
Brazil,2020-05-15,220292
Brazil,2020-05-16,233512
Brazil,2020-05-17,241081
Brazil,2020-05-18,255369
Brazil,2020-05-19,271886
Brazil,2020-05-20,294625
Brazil,2020-05-21,312762
Brazil,2020-05-22,334569
Brazil,2020-05-23,351566
Brazil,2020-05-24,366034
Brazil,2020-05-25,378841
Brazil,2020-05-26,395168
Brazil,2020-05-27,415367
Brazil,2020-05-28,443704
Brazil,2020-05-29,470594
Brazil,2020-05-30,502915
Brazil,2020-05-31,516138
Brazil,2020-06-01,531287
Brazil,2020-06-02,562964
Brazil,2020-06-03,589049
Brazil,2020-06-04,621003
