Country,Date,Death
Brazil,2020-01-22,1
Brazil,2020-01-23,1
Brazil,2020-01-24,1
Brazil,2020-01-25,1
Brazil,2020-01-26,1
Brazil,2020-01-27,1
Brazil,2020-01-28,1
Brazil,2020-01-29,1
Brazil,2020-01-30,1
Brazil,2020-01-31,1
Brazil,2020-02-01,1
Brazil,2020-02-02,1
Brazil,2020-02-03,1
Brazil,2020-02-04,1
Brazil,2020-02-05,1
Brazil,2020-02-06,1
Brazil,2020-02-07,1
Brazil,2020-02-08,1
Brazil,2020-02-09,1
Brazil,2020-02-10,1
Brazil,2020-02-11,1
Brazil,2020-02-12,1
Brazil,2020-02-13,1
Brazil,2020-02-14,1
Brazil,2020-02-15,1
Brazil,2020-02-16,1
Brazil,2020-02-17,1
Brazil,2020-02-18,1
Brazil,2020-02-19,1
Brazil,2020-02-20,1
Brazil,2020-02-21,1
Brazil,2020-02-22,1
Brazil,2020-02-23,1
Brazil,2020-02-24,1
Brazil,2020-02-25,1
Brazil,2020-02-26,1
Brazil,2020-02-27,1
Brazil,2020-02-28,1
Brazil,2020-02-29,1
Brazil,2020-03-01,1
Brazil,2020-03-02,1
Brazil,2020-03-03,1
Brazil,2020-03-04,1
Brazil,2020-03-05,1
Brazil,2020-03-06,1
Brazil,2020-03-07,1
Brazil,2020-03-08,1
Brazil,2020-03-09,1
Brazil,2020-03-10,1
Brazil,2020-03-11,1
Brazil,2020-03-12,1
Brazil,2020-03-13,1
Brazil,2020-03-14,1
Brazil,2020-03-15,1
Brazil,2020-03-16,1
Brazil,2020-03-17,2
Brazil,2020-03-18,4
Brazil,2020-03-19,7
Brazil,2020-03-20,12
Brazil,2020-03-21,16
Brazil,2020-03-22,26
Brazil,2020-03-23,35
Brazil,2020-03-24,47
Brazil,2020-03-25,60
Brazil,2020-03-26,78
Brazil,2020-03-27,93
Brazil,2020-03-28,112
Brazil,2020-03-29,137
Brazil,2020-03-30,160
Brazil,2020-03-31,202
Brazil,2020-04-01,241
Brazil,2020-04-02,325
Brazil,2020-04-03,360
Brazil,2020-04-04,446
Brazil,2020-04-05,487
Brazil,2020-04-06,565
Brazil,2020-04-07,687
Brazil,2020-04-08,820
Brazil,2020-04-09,951
Brazil,2020-04-10,1058
Brazil,2020-04-11,1125
Brazil,2020-04-12,1224
Brazil,2020-04-13,1329
Brazil,2020-04-14,1533
Brazil,2020-04-15,1737
Brazil,2020-04-16,1925
Brazil,2020-04-17,2142
Brazil,2020-04-18,2355
Brazil,2020-04-19,2463
Brazil,2020-04-20,2588
Brazil,2020-04-21,2742
Brazil,2020-04-22,2907
Brazil,2020-04-23,3332
Brazil,2020-04-24,3705
Brazil,2020-04-25,4058
Brazil,2020-04-26,4287
Brazil,2020-04-27,4604
Brazil,2020-04-28,5084
Brazil,2020-04-29,5514
Brazil,2020-04-30,6007
Brazil,2020-05-01,6413
Brazil,2020-05-02,6762
Brazil,2020-05-03,7052
Brazil,2020-05-04,7368
Brazil,2020-05-05,7939
Brazil,2020-05-06,8589
Brazil,2020-05-07,9191
Brazil,2020-05-08,10018
Brazil,2020-05-09,10657
Brazil,2020-05-10,11124
Brazil,2020-05-11,11654
Brazil,2020-05-12,12462
Brazil,2020-05-13,13241
Brazil,2020-05-14,14000
Brazil,2020-05-15,14963
Brazil,2020-05-16,15663
Brazil,2020-05-17,16119
Brazil,2020-05-18,16854
Brazil,2020-05-19,17984
Brazil,2020-05-20,19060
Brazil,2020-05-21,20129
Brazil,2020-05-22,21160
Brazil,2020-05-23,22206
Brazil,2020-05-24,22864
Brazil,2020-05-25,23591
Brazil,2020-05-26,24645
Brazil,2020-05-27,25706
Brazil,2020-05-28,26896
Brazil,2020-05-29,28033
Brazil,2020-05-30,28897
Brazil,2020-05-31,29368
Brazil,2020-06-01,30109
Brazil,2020-06-02,31474
Brazil,2020-06-03,32668
Brazil,2020-06-04,34178
Brazil,2020-06-05,35254
