Country,Date,Recovered
Brazil,2020-01-22,1
Brazil,2020-01-23,1
Brazil,2020-01-24,1
Brazil,2020-01-25,1
Brazil,2020-01-26,1
Brazil,2020-01-27,1
Brazil,2020-01-28,1
Brazil,2020-01-29,1
Brazil,2020-01-30,1
Brazil,2020-01-31,1
Brazil,2020-02-01,1
Brazil,2020-02-02,1
Brazil,2020-02-03,1
Brazil,2020-02-04,1
Brazil,2020-02-05,1
Brazil,2020-02-06,1
Brazil,2020-02-07,1
Brazil,2020-02-08,1
Brazil,2020-02-09,1
Brazil,2020-02-10,1
Brazil,2020-02-11,1
Brazil,2020-02-12,1
Brazil,2020-02-13,1
Brazil,2020-02-14,1
Brazil,2020-02-15,1
Brazil,2020-02-16,1
Brazil,2020-02-17,1
Brazil,2020-02-18,1
Brazil,2020-02-19,1
Brazil,2020-02-20,1
Brazil,2020-02-21,1
Brazil,2020-02-22,1
Brazil,2020-02-23,1
Brazil,2020-02-24,1
Brazil,2020-02-25,1
Brazil,2020-02-26,1
Brazil,2020-02-27,1
Brazil,2020-02-28,1
Brazil,2020-02-29,1
Brazil,2020-03-01,1
Brazil,2020-03-02,1
Brazil,2020-03-03,1
Brazil,2020-03-04,1
Brazil,2020-03-05,1
Brazil,2020-03-06,1
Brazil,2020-03-07,1
Brazil,2020-03-08,1
Brazil,2020-03-09,1
Brazil,2020-03-10,1
Brazil,2020-03-11,1
Brazil,2020-03-12,1
Brazil,2020-03-13,1
Brazil,2020-03-14,1
Brazil,2020-03-15,1
Brazil,2020-03-16,2
Brazil,2020-03-17,3
Brazil,2020-03-18,3
Brazil,2020-03-19,3
Brazil,2020-03-20,3
Brazil,2020-03-21,3
Brazil,2020-03-22,3
Brazil,2020-03-23,3
Brazil,2020-03-24,3
Brazil,2020-03-25,3
Brazil,2020-03-26,7
Brazil,2020-03-27,7
Brazil,2020-03-28,7
Brazil,2020-03-29,7
Brazil,2020-03-30,121
Brazil,2020-03-31,128
Brazil,2020-04-01,128
Brazil,2020-04-02,128
Brazil,2020-04-03,128
Brazil,2020-04-04,128
Brazil,2020-04-05,128
Brazil,2020-04-06,128
Brazil,2020-04-07,128
Brazil,2020-04-08,128
Brazil,2020-04-09,174
Brazil,2020-04-10,174
Brazil,2020-04-11,174
Brazil,2020-04-12,174
Brazil,2020-04-13,174
Brazil,2020-04-14,3047
Brazil,2020-04-15,14027
Brazil,2020-04-16,14027
Brazil,2020-04-17,14027
Brazil,2020-04-18,14027
Brazil,2020-04-19,22131
Brazil,2020-04-20,22131
Brazil,2020-04-21,22992
Brazil,2020-04-22,25319
Brazil,2020-04-23,26574
Brazil,2020-04-24,27656
Brazil,2020-04-25,29161
Brazil,2020-04-26,30153
Brazil,2020-04-27,31143
Brazil,2020-04-28,32545
Brazil,2020-04-29,34133
Brazil,2020-04-30,35936
Brazil,2020-05-01,38040
Brazil,2020-05-02,40938
Brazil,2020-05-03,42992
Brazil,2020-05-04,45816
Brazil,2020-05-05,48222
Brazil,2020-05-06,51371
Brazil,2020-05-07,55351
Brazil,2020-05-08,59298
Brazil,2020-05-09,61686
Brazil,2020-05-10,64958
Brazil,2020-05-11,67385
Brazil,2020-05-12,72598
Brazil,2020-05-13,78425
Brazil,2020-05-14,79480
Brazil,2020-05-15,84971
Brazil,2020-05-16,89673
Brazil,2020-05-17,94123
Brazil,2020-05-18,100460
Brazil,2020-05-19,106795
Brazil,2020-05-20,116684
Brazil,2020-05-21,125961
Brazil,2020-05-22,135431
Brazil,2020-05-23,142588
Brazil,2020-05-24,149912
Brazil,2020-05-25,153834
Brazil,2020-05-26,158594
Brazil,2020-05-27,166648
Brazil,2020-05-28,177605
Brazil,2020-05-29,189477
Brazil,2020-05-30,200893
Brazil,2020-05-31,206556
Brazil,2020-06-01,211081
Brazil,2020-06-02,223639
Brazil,2020-06-03,238618
Brazil,2020-06-04,254964
Brazil,2020-06-05,266941
