store_nbr,date,unit_sales
1,1/31/2013,626.0
1,2/28/2013,549.0
1,3/31/2013,644.0
1,4/30/2013,611.0
1,5/31/2013,553.0
1,6/30/2013,582.0
1,7/31/2013,597.0
1,8/31/2013,581.0
1,9/30/2013,640.0
1,10/31/2013,653.0
1,11/30/2013,663.0
1,12/31/2013,610.0
1,1/31/2014,577.0
1,2/28/2014,565.0
1,3/31/2014,615.0
1,4/30/2014,546.0
1,5/31/2014,618.0
1,6/30/2014,553.0
1,7/31/2014,595.0
1,8/31/2014,555.0
1,9/30/2014,615.0
1,10/31/2014,692.0
1,11/30/2014,594.0
1,12/31/2014,705.0
1,1/31/2015,691.0
1,2/28/2015,515.0
1,3/31/2015,586.0
1,4/30/2015,636.0
1,5/31/2015,576.0
1,6/30/2015,584.0
1,7/31/2015,616.0
1,8/31/2015,588.0
1,9/30/2015,703.0
1,10/31/2015,651.0
1,11/30/2015,629.0
1,12/31/2015,672.0
1,1/31/2016,619.0
1,2/29/2016,532.0
1,3/31/2016,596.0
1,4/30/2016,544.0
1,5/31/2016,547.0
1,6/30/2016,607.0
1,7/31/2016,569.0
1,8/31/2016,509.0
1,9/30/2016,565.0
1,10/31/2016,605.0
1,11/30/2016,545.0
1,12/31/2016,601.0
1,1/31/2017,607.0
1,2/28/2017,490.0
1,3/31/2017,601.0
1,4/30/2017,506.0
1,5/31/2017,524.0
1,6/30/2017,605.0
1,7/31/2017,643.0
1,8/31/2017,314.0
2,1/31/2013,1276.0
2,2/28/2013,1071.0
2,3/31/2013,1181.0
2,4/30/2013,1224.0
2,5/31/2013,1312.0
2,6/30/2013,1281.0
2,7/31/2013,1169.0
2,8/31/2013,1252.0
2,9/30/2013,1339.0
2,10/31/2013,1310.0
2,11/30/2013,1314.0
2,12/31/2013,1382.0
2,1/31/2014,1399.0
2,2/28/2014,1159.0
2,3/31/2014,1367.0
2,4/30/2014,1372.0
2,5/31/2014,1300.0
2,6/30/2014,1275.0
2,7/31/2014,1134.0
2,8/31/2014,1247.0
2,9/30/2014,1343.0
2,10/31/2014,1342.0
2,11/30/2014,1268.0
2,12/31/2014,1285.0
2,1/31/2015,1385.0
2,2/28/2015,1095.0
2,3/31/2015,1286.0
2,4/30/2015,1169.0
2,5/31/2015,1147.0
2,6/30/2015,1029.0
2,7/31/2015,1080.0
2,8/31/2015,1026.0
2,9/30/2015,1088.0
2,10/31/2015,1115.0
2,11/30/2015,1039.0
2,12/31/2015,1086.0
2,1/31/2016,1053.0
2,2/29/2016,873.0
2,3/31/2016,905.0
2,4/30/2016,999.0
2,5/31/2016,1009.0
2,6/30/2016,943.0
2,7/31/2016,856.0
2,8/31/2016,838.0
2,9/30/2016,848.0
2,10/31/2016,973.0
2,11/30/2016,874.0
2,12/31/2016,879.0
2,1/31/2017,959.0
2,2/28/2017,860.0
2,3/31/2017,1013.0
2,4/30/2017,971.0
2,5/31/2017,826.0
2,6/30/2017,876.0
2,7/31/2017,880.0
2,8/31/2017,430.0
3,1/31/2013,2834.0
3,2/28/2013,2231.0
3,3/31/2013,2807.0
3,4/30/2013,2641.0
3,5/31/2013,2648.0
3,6/30/2013,2754.0
3,7/31/2013,2524.0
3,8/31/2013,2605.0
3,9/30/2013,2723.0
3,10/31/2013,2666.0
3,11/30/2013,2493.0
3,12/31/2013,2573.0
3,1/31/2014,2568.0
3,2/28/2014,2193.0
3,3/31/2014,2705.0
3,4/30/2014,2343.0
3,5/31/2014,2440.0
3,6/30/2014,2260.0
3,7/31/2014,2293.0
3,8/31/2014,2312.0
3,9/30/2014,2498.0
3,10/31/2014,2510.0
3,11/30/2014,2291.0
3,12/31/2014,2420.0
3,1/31/2015,2375.0
3,2/28/2015,2115.0
3,3/31/2015,2365.0
3,4/30/2015,2272.0
3,5/31/2015,2291.0
3,6/30/2015,2186.0
3,7/31/2015,2377.0
3,8/31/2015,2405.0
3,9/30/2015,2260.0
3,10/31/2015,2459.0
3,11/30/2015,2302.0
3,12/31/2015,2278.0
3,1/31/2016,2186.0
3,2/29/2016,1869.0
3,3/31/2016,2056.0
3,4/30/2016,2068.0
3,5/31/2016,2063.0
3,6/30/2016,1954.0
3,7/31/2016,1906.0
