Entity,Day,Average surface temperature
Afghanistan,1/15/1940,7.9674678
Afghanistan,2/15/1940,9.2665067
Afghanistan,3/15/1940,11.999123
Afghanistan,4/15/1940,20.19974
Afghanistan,5/15/1940,27.942116
Afghanistan,6/15/1940,33.203463
Afghanistan,7/15/1940,34.44149
Afghanistan,8/15/1940,32.058139999999995
Afghanistan,9/15/1940,27.721264
Afghanistan,10/15/1940,23.730228
Afghanistan,11/15/1940,16.214725
Afghanistan,12/15/1940,11.1877007
Afghanistan,1/15/1941,7.359914
Afghanistan,2/15/1941,12.699739000000001
Afghanistan,3/15/1941,17.086429
Afghanistan,4/15/1941,22.958556
Afghanistan,5/15/1941,30.38691
Afghanistan,6/15/1941,34.670979
Afghanistan,7/15/1941,35.425799999999995
Afghanistan,8/15/1941,34.78026
Afghanistan,9/15/1941,29.08962
Afghanistan,10/15/1941,25.992151999999997
Afghanistan,11/15/1941,17.280755499999998
Afghanistan,12/15/1941,12.1654637
Afghanistan,1/15/1942,9.3350007
Afghanistan,2/15/1942,10.6776058
Afghanistan,3/15/1942,17.3221245
Afghanistan,4/15/1942,23.780074
Afghanistan,5/15/1942,30.0361
Afghanistan,6/15/1942,33.265217
Afghanistan,7/15/1942,35.827690000000004
Afghanistan,8/15/1942,33.411305999999996
Afghanistan,9/15/1942,29.149914000000003
Afghanistan,10/15/1942,24.236045
Afghanistan,11/15/1942,18.495133000000003
Afghanistan,12/15/1942,9.0886382
Afghanistan,1/15/1943,6.556857
Afghanistan,2/15/1943,8.8390099
Afghanistan,3/15/1943,15.274423
Afghanistan,4/15/1943,19.450015999999998
Afghanistan,5/15/1943,26.141294
Afghanistan,6/15/1943,32.049057000000005
Afghanistan,7/15/1943,35.374462
Afghanistan,8/15/1943,33.290943
Afghanistan,9/15/1943,29.074347
Afghanistan,10/15/1943,22.436346999999998
Afghanistan,11/15/1943,16.751281
Afghanistan,12/15/1943,13.0586889
Afghanistan,1/15/1944,8.632237
Afghanistan,2/15/1944,10.37299162
Afghanistan,3/15/1944,16.714993
Afghanistan,4/15/1944,22.43855
Afghanistan,5/15/1944,29.131227
Afghanistan,6/15/1944,32.970312
Afghanistan,7/15/1944,36.735994000000005
Afghanistan,8/15/1944,34.109295
Afghanistan,9/15/1944,27.885263000000002
Afghanistan,10/15/1944,22.72332
Afghanistan,11/15/1944,17.1036296
Afghanistan,12/15/1944,6.905920500000001
Afghanistan,1/15/1945,5.298673
Afghanistan,2/15/1945,7.301505000000001
Afghanistan,3/15/1945,14.8124814
Afghanistan,4/15/1945,20.975628
Afghanistan,5/15/1945,26.67435
Afghanistan,6/15/1945,32.262775000000005
Afghanistan,7/15/1945,34.700982999999994
Afghanistan,8/15/1945,34.265118
Afghanistan,9/15/1945,29.633867000000002
Afghanistan,10/15/1945,23.850509
Afghanistan,11/15/1945,17.179164999999998
Afghanistan,12/15/1945,9.44362754
Afghanistan,1/15/1946,7.370032
Afghanistan,2/15/1946,11.495878
Afghanistan,3/15/1946,15.3353367
Afghanistan,4/15/1946,25.289376
Afghanistan,5/15/1946,31.126875
Afghanistan,6/15/1946,33.291824
Afghanistan,7/15/1946,35.316736
Afghanistan,8/15/1946,33.195324
Afghanistan,9/15/1946,28.943672
Afghanistan,10/15/1946,24.840065
Afghanistan,11/15/1946,14.8499637
Afghanistan,12/15/1946,8.209236
Afghanistan,1/15/1947,7.48271
Afghanistan,2/15/1947,9.0328333
Afghanistan,3/15/1947,16.821248
Afghanistan,4/15/1947,22.813218
Afghanistan,5/15/1947,28.625769000000002
Afghanistan,6/15/1947,33.485853
Afghanistan,7/15/1947,34.882366000000005
Afghanistan,8/15/1947,35.407522
Afghanistan,9/15/1947,29.056010999999998
Afghanistan,10/15/1947,23.020711
Afghanistan,11/15/1947,18.158307999999998
Afghanistan,12/15/1947,9.33236164
Afghanistan,1/15/1948,9.0498736
Afghanistan,2/15/1948,9.90097748
Afghanistan,3/15/1948,14.0223823
Afghanistan,4/15/1948,21.660667
Afghanistan,5/15/1948,29.030958
Afghanistan,6/15/1948,32.447559999999996
Afghanistan,7/15/1948,35.340751999999995
Afghanistan,8/15/1948,33.185883000000004
Afghanistan,9/15/1948,29.105179
Afghanistan,10/15/1948,22.932807
Afghanistan,11/15/1948,15.9509234
Afghanistan,12/15/1948,9.0197623
Afghanistan,1/15/1949,5.17689
Afghanistan,2/15/1949,8.1347752
Afghanistan,3/15/1949,13.543253700000001
Afghanistan,4/15/1949,21.927218
Afghanistan,5/15/1949,28.90458
Afghanistan,6/15/1949,30.652594
Afghanistan,7/15/1949,34.610113
Afghanistan,8/15/1949,31.980757
Afghanistan,9/15/1949,28.18459
Afghanistan,10/15/1949,19.8756895
Afghanistan,11/15/1949,13.1474538
Afghanistan,12/15/1949,9.976940468
Afghanistan,1/15/1950,7.344345799999999
Afghanistan,2/15/1950,6.003966999999999
Afghanistan,3/15/1950,13.491104
Afghanistan,4/15/1950,18.332767
Afghanistan,5/15/1950,27.32905
Afghanistan,6/15/1950,32.357586
Afghanistan,7/15/1950,34.88411
Afghanistan,8/15/1950,32.738248999999996
Afghanistan,9/15/1950,27.177118
Afghanistan,10/15/1950,22.782823
Afghanistan,11/15/1950,13.6362932
Afghanistan,12/15/1950,6.695800800000001
Afghanistan,1/15/1951,6.873686
Afghanistan,2/15/1951,7.3571959
Afghanistan,3/15/1951,13.0543475
Afghanistan,4/15/1951,19.682854
Afghanistan,5/15/1951,27.095724
Afghanistan,6/15/1951,30.544859
Afghanistan,7/15/1951,33.49619
Afghanistan,8/15/1951,32.480239999999995
Afghanistan,9/15/1951,29.363364999999998
Afghanistan,10/15/1951,25.258010999999996
Afghanistan,11/15/1951,16.703698
Afghanistan,12/15/1951,13.0031872
Afghanistan,1/15/1952,7.1873758
Afghanistan,2/15/1952,10.7982074
Afghanistan,3/15/1952,14.7961197
Afghanistan,4/15/1952,23.119213000000002
Afghanistan,5/15/1952,27.61479
Afghanistan,6/15/1952,32.823626000000004
Afghanistan,7/15/1952,34.364609
Afghanistan,8/15/1952,32.483265
Afghanistan,9/15/1952,27.667938
Afghanistan,10/15/1952,21.739839
Afghanistan,11/15/1952,14.585982
Afghanistan,12/15/1952,8.3337376
Afghanistan,1/15/1953,7.0840282000000006
Afghanistan,2/15/1953,11.9834012
Afghanistan,3/15/1953,14.590385999999999
Afghanistan,4/15/1953,21.087168
Afghanistan,5/15/1953,27.865068
Afghanistan,6/15/1953,32.556070000000005
Afghanistan,7/15/1953,34.591673
Afghanistan,8/15/1953,32.609258999999994
Afghanistan,9/15/1953,28.287008
Afghanistan,10/15/1953,20.900557499999998
Afghanistan,11/15/1953,14.559751
Afghanistan,12/15/1953,11.2270977
Afghanistan,1/15/1954,7.7233324
Afghanistan,2/15/1954,9.6957886
Afghanistan,3/15/1954,14.35768
Afghanistan,4/15/1954,22.155213
Afghanistan,5/15/1954,28.432029999999997
Afghanistan,6/15/1954,31.634745000000002
Afghanistan,7/15/1954,33.494572000000005
Afghanistan,8/15/1954,32.216335
Afghanistan,9/15/1954,28.1472
Afghanistan,10/15/1954,20.837335000000003
Afghanistan,11/15/1954,14.8687205
Afghanistan,12/15/1954,9.5574141
Afghanistan,1/15/1955,7.8083408
Afghanistan,2/15/1955,11.9990655
Afghanistan,3/15/1955,17.066073
Afghanistan,4/15/1955,20.418738
Afghanistan,5/15/1955,25.599692
Afghanistan,6/15/1955,31.368933
Afghanistan,7/15/1955,34.830061
Afghanistan,8/15/1955,34.045
Afghanistan,9/15/1955,29.243237
Afghanistan,10/15/1955,21.457249
Afghanistan,11/15/1955,18.065752
Afghanistan,12/15/1955,11.2456481
Afghanistan,1/15/1956,6.6480844
Afghanistan,2/15/1956,10.45532194
Afghanistan,3/15/1956,15.0903125
Afghanistan,4/15/1956,21.982361
Afghanistan,5/15/1956,30.125408
Afghanistan,6/15/1956,31.6175
Afghanistan,7/15/1956,34.753487
Afghanistan,8/15/1956,32.34733
Afghanistan,9/15/1956,28.992601
Afghanistan,10/15/1956,21.648647
Afghanistan,11/15/1956,16.559845
Afghanistan,12/15/1956,10.3206576
Afghanistan,1/15/1957,5.7608027
Afghanistan,2/15/1957,7.2520392000000005
Afghanistan,3/15/1957,14.433993300000001
Afghanistan,4/15/1957,18.263815
Afghanistan,5/15/1957,25.505902
Afghanistan,6/15/1957,30.408031
Afghanistan,7/15/1957,32.699718000000004
Afghanistan,8/15/1957,31.63212
Afghanistan,9/15/1957,26.64657
Afghanistan,10/15/1957,21.126281
Afghanistan,11/15/1957,13.929617
Afghanistan,12/15/1957,10.1758453
Afghanistan,1/15/1958,10.57641083
Afghanistan,2/15/1958,10.26495284
Afghanistan,3/15/1958,17.7164235
Afghanistan,4/15/1958,24.712857
Afghanistan,5/15/1958,26.35202
Afghanistan,6/15/1958,32.365267
Afghanistan,7/15/1958,34.673595000000006
Afghanistan,8/15/1958,32.185379
Afghanistan,9/15/1958,29.103752
Afghanistan,10/15/1958,22.156382999999998
Afghanistan,11/15/1958,13.324283600000001
Afghanistan,12/15/1958,11.9450198
Afghanistan,1/15/1959,7.666176
Afghanistan,2/15/1959,8.454480199999999
Afghanistan,3/15/1959,15.9428763
Afghanistan,4/15/1959,23.752792999999997
Afghanistan,5/15/1959,27.388676
Afghanistan,6/15/1959,32.486467000000005
Afghanistan,7/15/1959,33.875866
Afghanistan,8/15/1959,34.712578
Afghanistan,9/15/1959,31.110027
Afghanistan,10/15/1959,24.484926
Afghanistan,11/15/1959,14.0840387
Afghanistan,12/15/1959,6.976153
